"","time","treatment","subject","rep","criterion","rating"
"1",1,1,3,1,"potato",2.9
"2",1,1,3,1,"buttery",0
"3",1,1,3,1,"grassy",0
"4",1,1,3,1,"rancid",0
"5",1,1,3,1,"painty",5.5
"6",1,1,3,2,"potato",14
"7",1,1,3,2,"buttery",0
"8",1,1,3,2,"grassy",0
"9",1,1,3,2,"rancid",1.1
"10",1,1,3,2,"painty",0
"11",1,1,10,1,"potato",11
"12",1,1,10,1,"buttery",6.4
"13",1,1,10,1,"grassy",0
"14",1,1,10,1,"rancid",0
"15",1,1,10,1,"painty",0
"16",1,1,10,2,"potato",9.9
"17",1,1,10,2,"buttery",5.9
"18",1,1,10,2,"grassy",2.9
"19",1,1,10,2,"rancid",2.2
"20",1,1,10,2,"painty",0
"21",1,1,15,1,"potato",1.2
"22",1,1,15,1,"buttery",0.1
"23",1,1,15,1,"grassy",0
"24",1,1,15,1,"rancid",1.1
"25",1,1,15,1,"painty",5.1
"26",1,1,15,2,"potato",8.8
"27",1,1,15,2,"buttery",3
"28",1,1,15,2,"grassy",3.6
"29",1,1,15,2,"rancid",1.5
"30",1,1,15,2,"painty",2.3
"31",1,1,16,1,"potato",9
"32",1,1,16,1,"buttery",2.6
"33",1,1,16,1,"grassy",0.4
"34",1,1,16,1,"rancid",0.1
"35",1,1,16,1,"painty",0.2
"36",1,1,16,2,"potato",8.2
"37",1,1,16,2,"buttery",4.4
"38",1,1,16,2,"grassy",0.3
"39",1,1,16,2,"rancid",1.4
"40",1,1,16,2,"painty",4
"41",1,1,19,1,"potato",7
"42",1,1,19,1,"buttery",3.2
"43",1,1,19,1,"grassy",0
"44",1,1,19,1,"rancid",4.9
"45",1,1,19,1,"painty",3.2
"46",1,1,19,2,"potato",13
"47",1,1,19,2,"buttery",0
"48",1,1,19,2,"grassy",3.1
"49",1,1,19,2,"rancid",4.3
"50",1,1,19,2,"painty",10.3
"51",1,1,31,1,"potato",12.2
"52",1,1,31,1,"buttery",0
"53",1,1,31,1,"grassy",0
"54",1,1,31,1,"rancid",2.5
"55",1,1,31,1,"painty",2
"56",1,1,31,2,"potato",12.8
"57",1,1,31,2,"buttery",2.5
"58",1,1,31,2,"grassy",0
"59",1,1,31,2,"rancid",5.6
"60",1,1,31,2,"painty",0
"61",1,1,51,1,"potato",8.6
"62",1,1,51,1,"buttery",1.7
"63",1,1,51,1,"grassy",0.1
"64",1,1,51,1,"rancid",1.4
"65",1,1,51,1,"painty",0.1
"66",1,1,51,2,"potato",10.2
"67",1,1,51,2,"buttery",4.2
"68",1,1,51,2,"grassy",3.6
"69",1,1,51,2,"rancid",3.3
"70",1,1,51,2,"painty",4
"71",1,1,52,1,"potato",5.8
"72",1,1,52,1,"buttery",0
"73",1,1,52,1,"grassy",1.7
"74",1,1,52,1,"rancid",8.5
"75",1,1,52,1,"painty",1.1
"76",1,1,52,2,"potato",7
"77",1,1,52,2,"buttery",3.1
"78",1,1,52,2,"grassy",0.3
"79",1,1,52,2,"rancid",2.8
"80",1,1,52,2,"painty",0.5
"81",1,1,63,1,"potato",8.3
"82",1,1,63,1,"buttery",0
"83",1,1,63,1,"grassy",0
"84",1,1,63,1,"rancid",1.1
"85",1,1,63,1,"painty",0.4
"86",1,1,63,2,"potato",2.9
"87",1,1,63,2,"buttery",0
"88",1,1,63,2,"grassy",0
"89",1,1,63,2,"rancid",12.9
"90",1,1,63,2,"painty",3.4
"91",1,1,78,1,"potato",4.9
"92",1,1,78,1,"buttery",1.2
"93",1,1,78,1,"grassy",0
"94",1,1,78,1,"rancid",1.1
"95",1,1,78,1,"painty",3.5
"96",1,1,78,2,"potato",8.8
